state_name,district_name,crime_count,risk_level,id,year,state_code,district_code,registration_circles,Wildlife_Protection
Andaman And Nicobar Islands,Nicobars,6,High Risk,822,2017,35,603,Nicobar,0.0
Andaman And Nicobar Islands,Nicobars,6,High Risk,1678,2018,35,603,Nicobar,1.0
Andaman And Nicobar Islands,Nicobars,6,High Risk,2551,2019,35,603,Nicobar,0.0
Andaman And Nicobar Islands,Nicobars,6,High Risk,3420,2020,35,603,Nicobar,0.0
Andaman And Nicobar Islands,Nicobars,6,High Risk,4355,2021,35,603,Nicobar,0.0
Andaman And Nicobar Islands,Nicobars,6,High Risk,5252,2022,35,603,Nicobar,0.0
Andaman And Nicobar Islands,North And Middle Andaman,6,High Risk,821,2017,35,632,North And Middle Andaman,0.0
Andaman And Nicobar Islands,North And Middle Andaman,6,High Risk,1677,2018,35,632,North And Middle Andaman,0.0
Andaman And Nicobar Islands,North And Middle Andaman,6,High Risk,2550,2019,35,632,North And Middle Andaman,0.0
Andaman And Nicobar Islands,North And Middle Andaman,6,High Risk,3419,2020,35,632,North And Middle Andaman,0.0
Andaman And Nicobar Islands,North And Middle Andaman,6,High Risk,4354,2021,35,632,North And Middle Andaman,0.0
Andaman And Nicobar Islands,North And Middle Andaman,6,High Risk,5251,2022,35,632,North And Middle Andaman,0.0
Andaman And Nicobar Islands,South Andamans,6,High Risk,820,2017,35,602,South Andaman,0.0
Andaman And Nicobar Islands,South Andamans,6,High Risk,1676,2018,35,602,South Andaman,0.0
Andaman And Nicobar Islands,South Andamans,6,High Risk,2549,2019,35,602,South Andaman,1.0
Andaman And Nicobar Islands,South Andamans,6,High Risk,3418,2020,35,602,South Andaman,0.0
Andaman And Nicobar Islands,South Andamans,6,High Risk,4353,2021,35,602,South Andaman,0.0
Andaman And Nicobar Islands,South Andamans,6,High Risk,5250,2022,35,602,South Andaman,1.0
Andhra Pradesh,Alluri Sitharama Raju,1,Low Risk,4388,2022,28,745,Alluri Sitharama Raju,0.0
Andhra Pradesh,Anakapalli,1,Low Risk,4389,2022,28,744,Anakapalli,1.0
Andhra Pradesh,Anantapur,12,High Risk,0,2017,28,502,Anantapur,1.0
Andhra Pradesh,Anantapur,12,High Risk,4,2017,28,502,Guntakal Railway,0.0
Andhra Pradesh,Anantapur,12,High Risk,852,2018,28,502,Anantapur,0.0
Andhra Pradesh,Anantapur,12,High Risk,856,2018,28,502,Guntakal Railway,1.0
Andhra Pradesh,Anantapur,12,High Risk,1708,2019,28,502,Anantapur,1.0
Andhra Pradesh,Anantapur,12,High Risk,1712,2019,28,502,Guntakal Railway,0.0
Andhra Pradesh,Anantapur,12,High Risk,2582,2020,28,502,Anantapur,0.0
Andhra Pradesh,Anantapur,12,High Risk,2586,2020,28,502,Guntakal Railway,2.0
Andhra Pradesh,Anantapur,12,High Risk,3480,2021,28,502,Anantapur,0.0
Andhra Pradesh,Anantapur,12,High Risk,3484,2021,28,502,Guntakal Railway,1.0
Andhra Pradesh,Anantapur,12,High Risk,4390,2022,28,502,Anantapuramu,0.0
Andhra Pradesh,Anantapur,12,High Risk,4397,2022,28,502,Guntakal Railway,0.0
Andhra Pradesh,Annamayya,1,Low Risk,4391,2022,28,753,Annamayya,0.0
Andhra Pradesh,Bapatla,1,Low Risk,4392,2022,28,750,Bapatla,0.0
Andhra Pradesh,Chittoor,6,High Risk,1,2017,28,503,Chittoor,0.0
Andhra Pradesh,Chittoor,6,High Risk,853,2018,28,503,Chittoor,0.0
Andhra Pradesh,Chittoor,6,High Risk,1709,2019,28,503,Chittoor,0.0
Andhra Pradesh,Chittoor,6,High Risk,2583,2020,28,503,Chittoor,0.0
Andhra Pradesh,Chittoor,6,High Risk,3481,2021,28,503,Chittoor,0.0
Andhra Pradesh,Chittoor,6,High Risk,4393,2022,28,503,Chittoor,0.0
Andhra Pradesh,East Godavari,11,High Risk,3,2017,28,505,East Godavari,0.0
Andhra Pradesh,East Godavari,11,High Risk,11,2017,28,505,Rajahmundry,0.0
Andhra Pradesh,East Godavari,11,High Risk,855,2018,28,505,East Godavari,0.0
Andhra Pradesh,East Godavari,11,High Risk,863,2018,28,505,Rajahmundry,0.0
Andhra Pradesh,East Godavari,11,High Risk,1711,2019,28,505,East Godavari,0.0
Andhra Pradesh,East Godavari,11,High Risk,1719,2019,28,505,Rajahmundry,0.0
Andhra Pradesh,East Godavari,11,High Risk,2585,2020,28,505,East Godavari,0.0
Andhra Pradesh,East Godavari,11,High Risk,2593,2020,28,505,Rajahmundry,0.0
Andhra Pradesh,East Godavari,11,High Risk,3483,2021,28,505,East Godavari,0.0
Andhra Pradesh,East Godavari,11,High Risk,3491,2021,28,505,Rajahmundry,0.0
Andhra Pradesh,East Godavari,11,High Risk,4395,2022,28,505,East Godavari,0.0
Andhra Pradesh,Eluru,1,Low Risk,4396,2022,28,748,Eluru,0.0
Andhra Pradesh,Guntur,11,High Risk,5,2017,28,506,Guntur,1.0
Andhra Pradesh,Guntur,11,High Risk,6,2017,28,506,Guntur Urban,0.0
Andhra Pradesh,Guntur,11,High Risk,857,2018,28,506,Guntur,1.0
Andhra Pradesh,Guntur,11,High Risk,858,2018,28,506,Guntur Urban,0.0
Andhra Pradesh,Guntur,11,High Risk,1713,2019,28,506,Guntur,0.0
Andhra Pradesh,Guntur,11,High Risk,1714,2019,28,506,Guntur Urban,0.0
Andhra Pradesh,Guntur,11,High Risk,2587,2020,28,506,Guntur,0.0
Andhra Pradesh,Guntur,11,High Risk,2588,2020,28,506,Guntur Urban,0.0
Andhra Pradesh,Guntur,11,High Risk,3485,2021,28,506,Guntur,0.0
Andhra Pradesh,Guntur,11,High Risk,3486,2021,28,506,Guntur Urban,0.0
Andhra Pradesh,Guntur,11,High Risk,4398,2022,28,506,Guntur,0.0
Andhra Pradesh,Kakinada,1,Low Risk,4399,2022,28,746,Kakinada,0.0
Andhra Pradesh,Konaseema,1,Low Risk,4394,2022,28,747,Dr Br Ambedkar Konaseema,0.0
Andhra Pradesh,Krishna,6,High Risk,7,2017,28,510,Krishna,0.0
Andhra Pradesh,Krishna,6,High Risk,859,2018,28,510,Krishna,0.0
Andhra Pradesh,Krishna,6,High Risk,1715,2019,28,510,Krishna,0.0
Andhra Pradesh,Krishna,6,High Risk,2589,2020,28,510,Krishna,0.0
Andhra Pradesh,Krishna,6,High Risk,3487,2021,28,510,Krishna,0.0
Andhra Pradesh,Krishna,6,High Risk,4400,2022,28,510,Krishna,0.0
Andhra Pradesh,Kurnool,6,High Risk,8,2017,28,511,Kurnool,0.0
Andhra Pradesh,Kurnool,6,High Risk,860,2018,28,511,Kurnool,0.0
Andhra Pradesh,Kurnool,6,High Risk,1716,2019,28,511,Kurnool,0.0
Andhra Pradesh,Kurnool,6,High Risk,2590,2020,28,511,Kurnool,0.0
Andhra Pradesh,Kurnool,6,High Risk,3488,2021,28,511,Kurnool,0.0
Andhra Pradesh,Kurnool,6,High Risk,4401,2022,28,511,Kurnool,1.0
Andhra Pradesh,Nandyal,1,Low Risk,4402,2022,28,755,Nandyal,0.0
Andhra Pradesh,Ntr,12,High Risk,14,2017,28,749,Vijayawada City,0.0
Andhra Pradesh,Ntr,12,High Risk,15,2017,28,749,Vijayawada Railway,0.0
Andhra Pradesh,Ntr,12,High Risk,866,2018,28,749,Vijayawada City,0.0
Andhra Pradesh,Ntr,12,High Risk,867,2018,28,749,Vijayawada Railway,0.0
Andhra Pradesh,Ntr,12,High Risk,1722,2019,28,749,Vijayawada City,0.0
Andhra Pradesh,Ntr,12,High Risk,1723,2019,28,749,Vijayawada Railway,0.0
Andhra Pradesh,Ntr,12,High Risk,2596,2020,28,749,Vijayawada City,0.0
Andhra Pradesh,Ntr,12,High Risk,2597,2020,28,749,Vijayawada Railway,0.0
Andhra Pradesh,Ntr,12,High Risk,3494,2021,28,749,Vijayawada City,0.0
Andhra Pradesh,Ntr,12,High Risk,3495,2021,28,749,Vijayawada Railway,0.0
Andhra Pradesh,Ntr,12,High Risk,4403,2022,28,749,Ntr,0.0
Andhra Pradesh,Ntr,12,High Risk,4411,2022,28,749,Viiayawada Railway,0.0
Andhra Pradesh,Palnadu,1,Low Risk,4404,2022,28,751,Palnadu,0.0
Andhra Pradesh,Parvathipuram Manyam,1,Low Risk,4405,2022,28,743,Parvathipuram Manyam,0.0
Andhra Pradesh,Prakasam,6,High Risk,10,2017,28,517,Prakasham,0.0
Andhra Pradesh,Prakasam,6,High Risk,862,2018,28,517,Prakasham,0.0
Andhra Pradesh,Prakasam,6,High Risk,1718,2019,28,517,Prakasham,0.0
Andhra Pradesh,Prakasam,6,High Risk,2592,2020,28,517,Prakasham,0.0
Andhra Pradesh,Prakasam,6,High Risk,3490,2021,28,517,Prakasham,0.0
Andhra Pradesh,Prakasam,6,High Risk,4406,2022,28,517,Prakasam,0.0
Andhra Pradesh,Spsr Nellore,6,High Risk,9,2017,28,515,Nellore,0.0
Andhra Pradesh,Spsr Nellore,6,High Risk,861,2018,28,515,Nellore,0.0
Andhra Pradesh,Spsr Nellore,6,High Risk,1717,2019,28,515,Nellore,0.0
Andhra Pradesh,Spsr Nellore,6,High Risk,2591,2020,28,515,Nellore,0.0
Andhra Pradesh,Spsr Nellore,6,High Risk,3489,2021,28,515,Nellore,0.0
Andhra Pradesh,Spsr Nellore,6,High Risk,4407,2022,28,515,Sri Potti Sriramulu Nellore,0.0
Andhra Pradesh,Sri Sathya Sai,1,Low Risk,4408,2022,28,754,Sri Sathya Sai,0.0
Andhra Pradesh,Srikakulam,6,High Risk,12,2017,28,519,Srikakulam,0.0
Andhra Pradesh,Srikakulam,6,High Risk,864,2018,28,519,Srikakulam,0.0
Andhra Pradesh,Srikakulam,6,High Risk,1720,2019,28,519,Srikakulam,0.0
Andhra Pradesh,Srikakulam,6,High Risk,2594,2020,28,519,Srikakulam,0.0
Andhra Pradesh,Srikakulam,6,High Risk,3492,2021,28,519,Srikakulam,0.0
Andhra Pradesh,Srikakulam,6,High Risk,4409,2022,28,519,Srikakulam,0.0
Andhra Pradesh,Tirupati,6,High Risk,13,2017,28,752,Tirupathi Urban,0.0
Andhra Pradesh,Tirupati,6,High Risk,865,2018,28,752,Tirupathi Urban,0.0
Andhra Pradesh,Tirupati,6,High Risk,1721,2019,28,752,Tirupathi Urban,0.0
Andhra Pradesh,Tirupati,6,High Risk,2595,2020,28,752,Tirupathi Urban,0.0
